iid1	iid2	max_IBD	sum_IBD>8	n_IBD>8	sum_IBD>12	n_IBD>12	sum_IBD>16	n_IBD>16	sum_IBD>20	n_IBD>20
RKF157.A0101	RKF139.A0101	283.4419026970864	3372.75789461346	21.0	3372.75789461346	21.0	3372.75789461346	21.0	3372.75789461346	21.0
KFJ007.A0101	KFJ006.A0101	283.31140745431185	3367.147707543336	22.0	3367.147707543336	22.0	3367.147707543336	22.0	3367.147707543336	22.0
MGS175.A0101	MGS139.A0101	283.2685025408864	3365.0607036979636	22.0	3365.0607036979636	22.0	3365.0607036979636	22.0	3365.0607036979636	22.0
RKF182.A0101	RKF148.A0101	283.3468025550246	3364.4587021088228	21.0	3364.4587021088228	21.0	3364.4587021088228	21.0	3364.4587021088228	21.0
RKC038.A0101	RKC028.A0101	283.6522025987506	3362.5844037436764	22.0	3362.5844037436764	22.0	3362.5844037436764	22.0	3362.5844037436764	22.0
MGS318.A0101	MGS260.A0101	268.77949282643385	3360.552395061677	22.0	3360.552395061677	22.0	3360.552395061677	22.0	3360.552395061677	22.0
MGS034.A0101	MGS020.A0101	283.4419026970864	3359.341689064604	21.0	3359.341689064604	21.0	3359.341689064604	21.0	3359.341689064604	21.0
MGS207.A0101	MGS201.A0101	268.78099282621406	3358.483715904731	22.0	3358.483715904731	22.0	3358.483715904731	22.0	3358.483715904731	22.0
MGS016.A0101	MGS422.A0101	283.38510263711214	3358.0909013391647	22.0	3358.0909013391647	22.0	3358.0909013391647	22.0	3358.0909013391647	22.0
RKF026.A0101	RKF027.A0101	268.78099282621406	3357.0218961744104	22.0	3357.0218961744104	22.0	3357.0218961744104	22.0	3357.0218961744104	22.0
MGS156.A0101	MGS439.A0101	283.46820268780004	3356.241993769072	21.0	3356.241993769072	21.0	3356.241993769072	21.0	3356.241993769072	21.0
LEO056.A0101	LEO096.A0101	283.38510263711214	3354.715898705763	21.0	3354.715898705763	21.0	3354.715898705763	21.0	3354.715898705763	21.0
RKF120.A0101	RKF023.A0101	283.074102550745	3354.4420890160836	22.0	3354.4420890160836	22.0	3354.4420890160836	22.0	3354.4420890160836	22.0
MGS463.A0101	MGS079.A0101	283.65110270679	3354.0178049486713	22.0	3354.0178049486713	22.0	3354.0178049486713	22.0	3354.0178049486713	22.0
MGS421.A0101	MGS020.A0101	283.3814026787877	3351.552308594546	22.0	3351.552308594546	22.0	3351.552308594546	22.0	3351.552308594546	22.0
RKF120.A0101	RKF015.A0101	268.78099282621406	3348.2348015895695	23.0	3348.2348015895695	23.0	3348.2348015895695	23.0	3348.2348015895695	23.0
MGS439.A0101	MGS124.A0101	283.64420253783464	3347.440109233139	21.0	3347.440109233139	21.0	3347.440109233139	21.0	3347.440109233139	21.0
MGS017.A0101	MGS385.A0101	283.38510263711214	3345.178495455184	22.0	3345.178495455184	22.0	3345.178495455184	22.0	3345.178495455184	22.0
MGS035.A0101	MGS028.A0101	283.19310266524565	3330.139402265195	21.0	3330.139402265195	21.0	3330.139402265195	21.0	3330.139402265195	21.0
